Name,Rating,Review Title,Review Date,Review Content
Lee Mendham,5.0 out of 5 stars,Simplicity itself,Reviewed in the United Kingdom on 11 November 2020,"I haven't given any stars for Alexa integration, for the simple reason that I haven't used it. Can't be bothered with all this newfangled voice control stuff. That's why I went with the Lite version in the first place - why pay for a bunch of bells and whistles I'm not going to use?As for the rest, though, I have no complaints. It was very simple and straightforward to set up and use. The stick is designed to plug into a spare HDMI port on the TV, but wouldn't fit due to a plug in the adjacent port. Fortunately they've allowed for this eventuality by including a short HDMI extension lead, and that did the trick.After that, all I had to do was follow the on-screen instructions to link it to my wi-fi and then my streaming accounts. That was slightly time-consuming due to having to enter all the various passwords and authorization codes, but once it's done it's done and I can watch to my heart's content.The picture quality's fine and I've had no problems. Watching Netflix and Amazon Prime shows via the Fire stick is an improvement from watching via Virgin, because there's no frame-rate incompatibility, so no motion judder.If a programme is left in pause for too long the screen will revert to a photo slideshow, but pressing the ""U-turn"" button will take you back to the Resume option.As for the remote, it's much smaller and lighter than those for my TV, Blu-ray, etc., but the controls are simple and intuitive. My only minor quibble is that using the up/down/left/right buttons to search through menus can make my finger a bit sore (and yes, that wouldn't happen with Alexa, but then my throat might get sore!)Given its small size and cheapness this gadget punches way above its weight and I have no hesitation in recommending it. (And yes, iPlayer and BritBox are indeed available!)"
Lilah Ivy,5.0 out of 5 stars,Perfect.,Reviewed in the United Kingdom on 30 September 2020,"Easy set up. Works perfectly. I already have a smart tv but wanted this for some extra apps and things that weren't available on my smart tv's interface. I can control my tv volume and on/off function with my echo as before, I can change channels or apps using both the firestick voice remote or my echo, and I can also control the firestick with my tv remote. So even if my kids manage to lose one or even both remotes I still have full control over all functions."
Amazon Customer,1.0 out of 5 stars,Packed in!,Reviewed in the United Kingdom on 15 October 2020,Bought this for my son week or go and guess what its packed in!! Not working at all angry is a understatementMean people paying money to get this!I am afraid amazon seem to have a lot of dodgy products now.
Nik H,1.0 out of 5 stars,1.0 out of 5 stars,Reviewed in the United Kingdom on 30 September 2020,Verified Purchase
Spike,5.0 out of 5 stars,Easy to install and as good as the bigger ones.,Reviewed in the United Kingdom on 14 October 2020,"Installation took 5 minutes, plug in, sign in to your internet and all is good. Prime, Netflix, YouTube, iPlayer - all that in a tiny stick, plus Alexa in the remote is a great feature. Only downside is if you pause it for more than 3 minutes it signs you out - pretty frustrating when you get a call or something and no way to disable it as far as I can tell, plus it dosent always tell you if a movie is included with your prime until you click on it - still highly recommended."
Linzilou,5.0 out of 5 stars,"Great product, delivery and installation easy just don’t leave the remote near a Rottweiler",Reviewed in the United Kingdom on 25 October 2020,Delivered and installed no problem and the  product looked great however the next day my dog/TRex found the remote and completely destroyed it so I’ve not even managed to watch anything yet. I looked here for a replacement remote but unfortunately couldn’t see one that matched the fire stick Lite. I wanted a proper fire stick one and not the universal one but the only Amazon one I could find was almost the same price as a new fire stick lite. Not sure why Amazon can’t make replacement remote at a more reasonable price. Waiting on my new lite now but might need to find the remote it’s own indestructible roll cage.
Milliemoofashionista,1.0 out of 5 stars,This does not work,Reviewed in the United Kingdom on 22 November 2020,"The device significantly falls short of the advertised description of simply plug and play and simple to set up and use. Numerous attempts were made with a superfast broadband connection carefully following all instructions and the device will not go beyond unable to update even after following online support and including factory resets. This device seems to have defective, un useable software."
Reynolds,5.0 out of 5 stars,Junk your old Fire TV stick in favour of this,Reviewed in the United Kingdom on 18 October 2020,"I’ve been struggling on with an original Fire TV stick for a while. Increasingly, it been getting slower to navigate, freezes and keeps buffering even though my phone shows a download speed of 55mbps over wi-fi in the same room.This new version, despite it being entry level, is amazing in comparison. No more 5 second lag when pressing the buttons or freeze frames during content viewing. The experience is just as it should be. It even automatically connected to my account and wi-fi when I first turned it on."
MsSteeple,2.0 out of 5 stars,Not as good as my old Fire box and the revised design of the remote is dreadful,Reviewed in the United Kingdom on 28 December 2020,"I only bought this because I couldn't load Britbox on my older version of Amazon Fire and it is definitely not as good. As others have noted, the handset is almost impossible to get into, so utterly unfit for anyone who may be less-abled or elderly - the old version of the handset was easy to open and I now dread changing the batteries. My other big gripe is that when I leave the firestick on standby it often loses the sound so I keep having to unplug and re-plug it in to get the sound back, which is extremely annoying. I much preferred my old model which never gave me any problems. Please test new versions thoroughly in future before rolling them out to check they can be used easily by all of your customers and that they work as they should! Thanks,"
S. Lovell,5.0 out of 5 stars,Very Impressed,Reviewed in the United Kingdom on 9 November 2020,"I've been vaguely planning to replace our aging YouView box for a while, and when I saw an offer on the Fire TV Stick, I thought I'd give it a go. I was a little nervous that it might be underpowered (it's very small) and that the using Wifi rather than a network cable might result in poor performance too.I needn't have worried. Where our YouView box had often seemed slow and unresponsive the FireStick is snappy, and the modern interface makes browsing the available options a breeze. There is support for all the major ""on demand"" players (including Plex, which is another win for me). I haven't noticed any significant lag related to using Wifi either (though our router and the FireStick are less than a metre apart).The only downside compared to the YouView box is the inability to record and/or pause normal TV, but that was a feature we very rarely used ... and for catch up TV is redundant unless you're wanting to build a collection rather than simply watch once.So, the YouView box has now been unplugged and I'm not looking back!"
